,Name,Link,Description,Price,Sale Price
129,Nike Therma,https://www.nike.com/t/therma-mens-pullover-training-hoodie-zTst4l/CU6214-100,Men's Pullover Training Hoodie,$50,$26.97
130,Nike Air Max 90 GS,https://www.nike.com/t/air-max-90-gs-big-kids-shoes-hZDxXj/DV3480-100,Big Kids' Shoes,$110,$67.97
131,Nike Air Max 90 LTR,https://www.nike.com/t/air-max-90-ltr-big-kids-shoes-1wzwJM/CD6864-010,Big Kids’ Shoes,$100,$80.97
132,Nike Quest 4,https://www.nike.com/t/quest-4-womens-road-running-shoes-LM6nH6/DA1106-006,Women's Road Running Shoes,$75,$55.97
133,LeBron 19,https://www.nike.com/t/lebron-19-basketball-shoes-VkqHgW/CZ0203-003,Basketball Shoes,$200,$98.97
134,Nike Air Force 1 Fontanka,https://www.nike.com/t/air-force-1-fontanka-womens-shoes-cWbdwn/DR0151-001,Women's Shoes,$130,$63.97
135,Nike Sportswear Sport Essentials,https://www.nike.com/t/sportswear-sport-essentials-mens-woven-lined-flow-shorts-5nvp4d/DM6829-871,Men's Woven Lined Flow Shorts,$50,$40.97
136,Nike Air Max 2017,https://www.nike.com/t/air-max-2017-mens-shoes-BVqnkV/849559-009,Men's Shoes,$190,$150.97
137,Jordan Point Lane,https://www.nike.com/t/jordan-point-lane-mens-shoes-PPMHdC/CZ4166-060,Men's Shoes,$140,$126.97
138,Nike Dri-FIT Swoosh,https://www.nike.com/t/dri-fit-swoosh-womens-medium-support-1-piece-pad-sports-bra-sNSkxf/BV3636-827,Women's Medium-Support 1-Piece Pad Sports Bra,$38,$21.97
139,Nike Air Force 1 Crater FlyKnit,https://www.nike.com/t/air-force-1-crater-flyknit-womens-shoe-80HRtv/DC7273-100,Women's Shoe,$110,$61.97
140,Nike Air Max Genome,https://www.nike.com/t/air-max-genome-mens-shoes-f4SHr3/CW1648-001,Men's Shoes,$170,$102.97
141,Nike Force 1 Crib,https://www.nike.com/t/force-1-crib-baby-bootie-clk354/CK2201-100,Baby Bootie,$45,$36.97
142,Nike Court Legacy Next Nature,https://www.nike.com/t/court-legacy-next-nature-womens-shoes-BVtWcS/DH3161-105,Women's Shoes,$70,$56.97
